Time,Reporter,Type,Content,Screenshot,RTF Note
06.12.2016 12:15:38,Wojciech Puzio,(Rapid Reporter version),"1.16.05.20",,
06.12.2016 12:15:38,Wojciech Puzio,Session Reporter,"Wojciech Puzio",,
06.12.2016 12:15:38,Wojciech Puzio,Session Charter,"2",,
06.12.2016 12:16:17,Wojciech Puzio,autogenerated,"screenshot saved",1_20161206_121617.jpg,
06.12.2016 12:16:18,Wojciech Puzio,Setup,"Kliknięcie nie pamiętam hasła",1_20161206_121617.jpg,
06.12.2016 12:16:42,Wojciech Puzio,autogenerated,"screenshot saved",2_20161206_121642.jpg,
06.12.2016 12:16:43,Wojciech Puzio,Setup,"Wyświetla się strona z wymaganym emailem i capatcha",2_20161206_121642.jpg,
06.12.2016 12:17:13,Wojciech Puzio,autogenerated,"screenshot saved",3_20161206_121713.jpg,
06.12.2016 12:17:13,Wojciech Puzio,Setup,"Podaję dane",3_20161206_121713.jpg,
06.12.2016 12:17:33,Wojciech Puzio,autogenerated,"screenshot saved",4_20161206_121733.jpg,
06.12.2016 12:17:34,Wojciech Puzio,Setup,"Klikam odzyskaj hasło",4_20161206_121733.jpg,
06.12.2016 12:17:51,Wojciech Puzio,autogenerated,"screenshot saved",5_20161206_121751.jpg,
06.12.2016 12:17:52,Wojciech Puzio,Setup,"Błąd o niepoprawnie wypełnionej capatcha",5_20161206_121751.jpg,
06.12.2016 12:18:11,Wojciech Puzio,autogenerated,"screenshot saved",6_20161206_121811.jpg,
06.12.2016 12:18:11,Wojciech Puzio,Setup,"Wprowadzam jeszcze raz tekst z obrazka",6_20161206_121811.jpg,
06.12.2016 12:18:20,Wojciech Puzio,autogenerated,"screenshot saved",7_20161206_121820.jpg,
06.12.2016 12:18:21,Wojciech Puzio,Setup,"Klikam odzyskaj hasło",7_20161206_121820.jpg,
06.12.2016 12:20:02,Wojciech Puzio,autogenerated,"screenshot saved",8_20161206_122002.jpg,
06.12.2016 12:20:04,Wojciech Puzio,Setup,"Informacja zwrotna o sukcesie w procesie odzyskiwania hasła",8_20161206_122002.jpg,
06.12.2016 12:20:44,Wojciech Puzio,autogenerated,"screenshot saved",9_20161206_122044.jpg,
06.12.2016 12:20:45,Wojciech Puzio,Setup,"Wchodze na skrzynkę pocztową",9_20161206_122044.jpg,
06.12.2016 12:21:08,Wojciech Puzio,autogenerated,"screenshot saved",10_20161206_122108.jpg,
06.12.2016 12:21:09,Wojciech Puzio,Setup,"Otrzymałem wiadomość",10_20161206_122108.jpg,
06.12.2016 12:21:20,Wojciech Puzio,autogenerated,"screenshot saved",11_20161206_122120.jpg,
06.12.2016 12:21:21,Wojciech Puzio,Setup,"Otwarcie wiadomości",11_20161206_122120.jpg,
06.12.2016 12:21:38,Wojciech Puzio,autogenerated,"screenshot saved",12_20161206_122138.jpg,
06.12.2016 12:21:38,Wojciech Puzio,Setup,"Po kliknieciu w link uzupełniam dane",12_20161206_122138.jpg,
06.12.2016 12:21:50,Wojciech Puzio,autogenerated,"screenshot saved",13_20161206_122150.jpg,
06.12.2016 12:21:51,Wojciech Puzio,Setup,"Wprowadzam nowe hasło",13_20161206_122150.jpg,
06.12.2016 12:21:58,Wojciech Puzio,autogenerated,"screenshot saved",14_20161206_122158.jpg,
06.12.2016 12:21:59,Wojciech Puzio,Setup,"Klikam zmień hasło",14_20161206_122158.jpg,
06.12.2016 12:22:31,Wojciech Puzio,autogenerated,"screenshot saved",15_20161206_122231.jpg,
06.12.2016 12:22:32,Wojciech Puzio,Note,"Otrzymuję informację o złej poprawności hasła",15_20161206_122231.jpg,
06.12.2016 12:22:57,Wojciech Puzio,autogenerated,"screenshot saved",16_20161206_122257.jpg,
06.12.2016 12:23:52,Wojciech Puzio,autogenerated,"screenshot saved",17_20161206_122352.jpg,
06.12.2016 12:23:53,Wojciech Puzio,Setup,"Hasło zostało zmienione i poprawnie mnie zalogowano",17_20161206_122352.jpg,
06.12.2016 12:25:52,Wojciech Puzio,Session End. Duration,"00:10:14",,
