Time,Reporter,Type,Content,Screenshot,RTF Note
2016-12-08 20:19:59,Filip Mankowski,(Rapid Reporter version),"1.16.05.20",,
2016-12-08 20:19:59,Filip Mankowski,Session Reporter,"Filip Mankowski",,
2016-12-08 20:19:59,Filip Mankowski,Session Charter,"Usability Testing",,
2016-12-08 20:20:12,Filip Mankowski,autogenerated,"screenshot saved",1_20161208_202012.jpg,
2016-12-08 20:21:25,Filip Mankowski,autogenerated,"screenshot saved",2_20161208_202125.jpg,
2016-12-08 20:21:26,Filip Mankowski,autogenerated,"screenshot saved",3_20161208_202126.jpg,
2016-12-08 20:21:46,Filip Mankowski,Test,"Sprawdzenie pogody dla PioDeJaneiro",3_20161208_202126.jpg,
2016-12-08 20:21:49,Filip Mankowski,autogenerated,"screenshot saved",4_20161208_202149.jpg,
2016-12-08 20:22:29,Filip Mankowski,autogenerated,"screenshot saved",5_20161208_202229.jpg,
2016-12-08 20:23:04,Filip Mankowski,Test,"RioDeJaneiro as Favorite Locations",5_20161208_202229.jpg,
2016-12-08 20:28:57,Filip Mankowski,Test,"Film in this week in London",,
2016-12-08 20:28:59,Filip Mankowski,autogenerated,"screenshot saved",6_20161208_202859.jpg,
2016-12-08 20:29:05,Filip Mankowski,autogenerated,"screenshot saved",7_20161208_202905.jpg,
2016-12-08 20:29:08,Filip Mankowski,autogenerated,"screenshot saved",8_20161208_202908.jpg,
2016-12-08 20:29:14,Filip Mankowski,autogenerated,"screenshot saved",9_20161208_202914.jpg,
2016-12-08 20:32:55,Filip Mankowski,Test,"Personal finance",9_20161208_202914.jpg,
2016-12-08 20:32:56,Filip Mankowski,autogenerated,"screenshot saved",10_20161208_203256.jpg,
2016-12-08 20:33:07,Filip Mankowski,autogenerated,"screenshot saved",11_20161208_203307.jpg,
2016-12-08 20:36:33,Filip Mankowski,Test,"Travel to Scotland",11_20161208_203307.jpg,
2016-12-08 20:36:33,Filip Mankowski,autogenerated,"screenshot saved",12_20161208_203633.jpg,
2016-12-08 20:40:26,Filip Mankowski,autogenerated,"screenshot saved",13_20161208_204026.jpg,
2016-12-08 20:42:58,Filip Mankowski,autogenerated,"screenshot saved",14_20161208_204258.jpg,
2016-12-08 20:43:27,Filip Mankowski,Session End. Duration,"00:23:27",,
